atm_id,alias_id,site_id,site_name,address,city,state,region_name,location,accessibility,install_date,delivery_date,take_over_date,category_name,model_name,serial_number,type_name,warranty_days,bank_name,user_id,status
AMKATM72,SVRSVR-A001,100472,Offsite,"Rup Ko Village, Sangkat Chek, Svay Rieng District, Svay Rieng Province.",Svay Rieng Municipality,Svay Rieng,Svay Rieng Municipality,Svay Rieng Municipality,06:00 to 18:00,3/3/2022,7/18/2021,8/30/2026,Gold,DN 100D,J810004206,ATM,365,AMK MFI,1,active
AMKATM73,SNGSNG-C001,102623,On-Site,"Building No. 93, Street 7, Suong Lech Village, Sangkat Suong, Suong Municipality, Tbong Khmum Province.",Suong Municipality,Tboung Khmum,Suong Municipality,Suong Municipality,06:00 to 18:00,9/14/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310263780,CRM,365,AMK MFI,1,active
AMKATM74,SRPSRP-A001,100469,Offsite,"Plot No. 2794, Chong Kaosou Village, Sangkat Slor Kram, Siem Reap City, Siem Reap Province.",Siem Reap Municipality,Siem Reap,Siem Reap Municipality,Siem Reap Municipality,06:00 to 18:00,11/16/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810001785,ATM,365,AMK MFI,1,active
AMKATM75,STRSTR-A001,104164,Offsite,"Prek Village, Sangkat Stung Treng, Stung Treng City, Stung Treng Province.",Stung Treng Municipality,Stung Treng,Stung Treng Municipality,Stung Treng Municipality,06:00 to 18:00,1/1/2022,7/18/2021,8/30/2026,Gold,DN 100D,J810004234,ATM,365,AMK MFI,1,active
AMKATM76,TTLKFR-A001,113764,Offsite,"Spring Plaza Building No. 2175, Street 2004, Sangkat Teuk Thla, Khan Sen Sok, Phnom Penh",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/4/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009362,ATM,365,AMK MFI,1,active
AMKATM77,CCVLKH-A001,113756,Offsite,"National Road No 6A, Kien Khleang Village, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/4/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009356,ATM,365,AMK MFI,1,active
AMKATM78,PSCNRD-A001,113737,Offsite,"Next to the fence of Norodom Primary School, Norodom Blvd., Sangkat Phsar Kandal II, Khan Daun Penh, Phnom Penh",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/3/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009366,ATM,365,AMK MFI,1,active
AMKATM79,PNPMTT-A001,113704,Offsite,"Mao Tse Toung Street, Village 6, Sangkat Toul Svay Prey 1, Khan Boeung Keng Kang, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/2/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009359,ATM,365,AMK MFI,1,active
AMKATM80,PNPCAR-A001,113755,Offsite,"Lot 1381, National Road 2, Sangkat Chak Angre Krom, Khan Meanchey, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/5/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009349,ATM,365,AMK MFI,1,active
AMKATM81,PNPMBC-A001,113711,Offsite,"# 155E0, Street 163, Corner of Street 468, Sangkat Toul Tum Poung I, Khan Chamkarmon, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/2/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009361,ATM,365,AMK MFI,1,active
