atm_id,alias_id,banklocation_id,install_date,delivery_date,takeover_date,category_id,model_id,android_version,serail_number,type_id,status_id,warrenty
CCM1280009,CCM1280009,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001454,3,1,365
CCM1280010,CCM1280010,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001455,3,1,365
CCM1280011,CCM1280011,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001456,3,1,365
CCM1280012,CCM1280012,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001457,3,1,365
CCM1280013,CCM1280013,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001458,3,1,365
CCM1280014,CCM1280014,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001459,3,1,365
CCM1280015,CCM1280015,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001460,3,1,365
CCM1280016,CCM1280016,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001461,3,1,365
CCM1280017,CCM1280017,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001462,3,1,365
CCM1280018,CCM1280018,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001463,3,1,365
CCM1280019,CCM1280019,73,12/15/2022,12/13/2022,12/15/2027,2,4,Android OS,J812001464,3,1,365
CCM1280020,CCM1280020,73,8/23/2023,8/23/2023,8/24/2030,2,4,Android OS,J812001465,3,1,365
CCM1280021,CCM1280021,73,8/23/2023,8/23/2023,8/24/2030,2,4,Android OS,J812001466,3,1,365
CCM1280022,CCM1280022,73,8/23/2023,8/23/2023,8/24/2030,2,4,Android OS,J812001467,3,1,365
CCM1280023,CCM1280023,74,8/23/2023,8/23/2023,8/24/2030,2,4,Android OS,J812001468,3,1,365
CCM1280024,CCM1280024,96,8/23/2023,8/23/2023,8/24/2030,2,4,Android OS,J812001469,3,1,365
AMKATM88,VSRKMA-A001,68,6/15/2022,5/1/2022,8/30/2026,2,1,Win10,J812001470,1,1,365
